"Country" "Master.ID"
"188" "Russia" "RISE507.508.merge"
"189" "Turkey" "Bon001"
"190" "Turkey" "Bon002"
"191" "Turkey" "Bon004"
"192" "Turkey" "Bon005"
"193" "Turkey" "Tep001"
"194" "Turkey" "Tep002"
"195" "Turkey" "Tep003"
"196" "Turkey" "Tep004"
"197" "Turkey" "Tep006"
"198" "China" "HGDP00778"
"199" "Congo" "HGDP00456"
"200" "Brazil" "HGDP00998"
"201" "Nigeria" "HGDP00927"
"202" "Italy" "HGDP00665"
"203" "France" "HGDP00521"
"204" "Sudan" "A_Dinka-4"
"205" "China" "HGDP01307"
"206" "Senegal" "HGDP01284"
"207" "Namibia" "HGDP01029"
"208" "Papua New Guinea" "HGDP00551"
"209" ".." "Ancestor"
"210" ".." "Href"
"211" ".." "Chimp"
"212" ".." "Gorilla"
"213" "Jordan" "Jordan603"
"214" "Russia" "HGDP00956"
"215" "Russia" "altai363p"
"216" "India" "BR_Kurumba-1"
"217" "Kenya" "Ayodo_502C"
"218" "Spain" "HG01503"
"219" "Nigeria" "S_Igbo-2"
"220" "Jordan" "Jordan214"
"221" "Pakistan" "HG02783"
"222" "China" "S_Naxi-2"
"223" "Congo" "HGDP00449"
"224" "Russia" "HGDP01402"
"225" "Papua New Guinea" "HGDP00656"
"226" "India" "S_Irula-2"
"227" "France" "HGDP00530"
"228" "Colombia" "HGDP00702"
"229" "Italy" "HGDP01153"
"230" "Central African Republic" "HGDP00461"
"231" "Senegal" "HGDP01199"
"232" "Pakistan" "HGDP00328"
"233" "Pakistan" "HGDP00428"
"234" "Israel" "HGDP00616"
"235" "Namibia" "HGDP00987"
"236" "Papua New Guinea" "HGDP00550"
"237" "Brazil" "HGDP00852"
"238" "Nigeria" "HGDP00932"
"239" "Iraq" "IraqiJew4291"
"240" "Poland" "S_Polish-1"
"241" "Nepal" "T_Sherpa-1"
"242" "Pakistan" "HGDP00286"
"243" "Senegal" "HGDP00915"
"244" "China" "HGDP01215"
"245" "Pakistan" "HGDP00124"
"246" "Israel" "HGDP00650"
"247" "Pakistan" "HGDP00338"
"248" "BotswanaOrNamibia" "HGDP01035"
"249" "China" "HGDP01223"
